District,Year,Price_per_sqm_SAR,Size_sqm,Bedrooms,Total_Price_SAR
South Riyadh,2023,10939,301,2,3292639
Al Yasmin,2024,12697,268,6,3402796
South Riyadh,2025,8343,124,1,1034532
Olaya,2023,7918,62,4,490916
Olaya,2019,9497,158,4,1500526
Al Qirawan,2020,11144,72,3,802368
Olaya,2024,9614,129,2,1240206
Al Narjis,2022,9749,202,1,1969298
North Riyadh,2023,7674,425,2,3261450
Al Rawdah,2019,12092,149,5,1801708
Al Malqa,2024,6925,165,6,1142625
Al Malqa,2018,6057,88,5,533016
Al Narjis,2022,12029,77,3,926233
West Riyadh,2024,6958,175,4,1217650
Al Yasmin,2018,14893,254,6,3782822
North Riyadh,2022,7744,273,4,2114112
Al Rawdah,2021,9941,404,1,4016164
Olaya,2019,8334,298,1,2483532
Al Yasmin,2018,7200,144,1,1036800
East Riyadh,2023,10803,79,4,853437
Al Rawdah,2024,14618,303,1,4429254
Al Sulimaniyah,2019,6876,309,6,2124684
East Riyadh,2019,11735,367,2,4306745
East Riyadh,2019,10609,329,1,3490361
Al Narjis,2021,10461,249,5,2604789
Al Yasmin,2025,13498,236,5,3185528
Al Yasmin,2019,13640,130,3,1773200
South Riyadh,2019,5080,161,5,817880
Olaya,2023,8931,291,6,2598921
Al Yasmin,2021,9712,261,2,2534832
Olaya,2021,7950,101,1,802950
Al Rawdah,2020,11251,295,6,3319045
Al Rawdah,2022,8307,170,2,1412190
Olaya,2021,6544,285,3,1865040
East Riyadh,2019,13199,304,1,4012496
Al Qirawan,2023,4847,205,5,993635
Al Sulimaniyah,2023,6873,297,4,2041281
North Riyadh,2024,5065,150,3,759750
Al Yasmin,2024,4414,333,2,1469862
North Riyadh,2021,11590,162,4,1877580
West Riyadh,2023,5807,91,4,528437
Al Malqa,2021,14295,309,3,4417155
North Riyadh,2022,13873,415,6,5757295
West Riyadh,2025,5184,423,6,2192832
West Riyadh,2018,9990,256,4,2557440
Al Rawdah,2021,11483,392,6,4501336
South Riyadh,2022,4866,327,4,1591182
West Riyadh,2024,9218,370,1,3410660
East Riyadh,2018,9077,105,4,953085
North Riyadh,2019,11132,212,5,2359984
Al Narjis,2018,13428,390,3,5236920
West Riyadh,2021,6795,196,4,1331820
Al Sulimaniyah,2018,14044,136,3,1909984
Al Sulimaniyah,2025,12861,283,1,3639663
West Riyadh,2019,4172,184,2,767648
South Riyadh,2020,13409,334,2,4478606
Al Qirawan,2019,14704,369,4,5425776
North Riyadh,2021,8946,147,2,1315062
Al Rawdah,2024,8736,304,4,2655744
Al Qirawan,2019,5845,236,2,1379420
East Riyadh,2020,6084,399,2,2427516
Al Malqa,2022,8000,225,3,1800000
East Riyadh,2020,7587,373,5,2829951
King Fahd,2019,9623,156,6,1501188
South Riyadh,2019,5720,163,6,932360
King Fahd,2024,12208,207,4,2527056
Olaya,2024,7749,217,4,1681533
Al Qirawan,2022,5327,195,4,1038765
Olaya,2020,7433,279,1,2073807
Al Rawdah,2020,5050,207,3,1045350
Al Rawdah,2021,8241,102,4,840582
Olaya,2024,13884,233,6,3234972
East Riyadh,2021,11288,108,3,1219104
West Riyadh,2022,9736,143,2,1392248
East Riyadh,2021,10201,365,6,3723365
Al Sulimaniyah,2024,4504,103,3,463912
East Riyadh,2024,10296,341,2,3510936
Al Narjis,2020,9894,97,6,959718
King Fahd,2023,7560,361,5,2729160
South Riyadh,2020,6304,336,2,2118144
West Riyadh,2024,4302,197,3,847494
Olaya,2022,6103,424,2,2587672
Al Narjis,2018,12673,76,2,963148
Olaya,2025,7180,137,2,983660
Al Sulimaniyah,2021,10422,311,1,3241242
Al Yasmin,2020,7870,431,5,3391970
Al Qirawan,2019,5087,235,1,1195445
Al Yasmin,2022,11357,383,5,4349731
Al Malqa,2024,4553,382,5,1739246
West Riyadh,2020,14474,420,4,6079080
East Riyadh,2018,4095,63,2,257985
South Riyadh,2025,11862,328,2,3890736
Al Yasmin,2022,14446,255,1,3683730
East Riyadh,2022,9125,320,2,2920000
Al Qirawan,2020,5540,152,2,842080
West Riyadh,2025,7367,404,1,2976268
West Riyadh,2021,12638,181,6,2287478
East Riyadh,2025,5389,104,1,560456
West Riyadh,2019,10202,286,2,2917772
